DBC,Date,GLD,HYD,TLT,VEA,VTI,VWO
0.159998289,3/28/17,0.249997327,0.037221651,0.292785513,0.079999145,0.179998075,
0.185597009,3/28/17,0.197269451,0.024425998,0.187658905,0.186176095,0.218872541,
0.211002738,4/30/17,0.23798149,,0.206162996,0.14666743,0.198185345,
0.206537991,4/30/17,0.232945881,0.02407357,0.198886752,0.143563996,0.193991809,
0.115791539,4/30/17,0.276559958,0.028447616,0.273602134,0.167318774,0.138279979,
0.153982844,5/30/17,0.25057483,,0.316509826,0.050423969,0.133151427,0.095357103
0.117882633,5/30/17,0.24940458,,0.372567335,0.04003985,0.122622041,0.09748356
0.127763359167,07/02/17,0.265169568623,,0.315336415139,0.0617500159797,0.137965431717,0.0920152093746
0.128384234606,07/02/17,0.356622873905,,0.238731014763,0.0497164032849,0.131282377424,0.095263096018
0.120967941805,08/02/17,0.277030311759,,0.314602775494,0.0513131010921,0.126669429928,0.109416439922
0.0951340993544,08/02/17,0.274937547134,,0.274937547134,0.0648169302663,0.160058133923,0.130115742188
0.123702371054,09/03/17,0.277690308677,,0.327087824989,0.0534389490802,0.111979528945,0.106101017255
0.128891638019,09/03/17,0.208783149187,,0.394730641432,0.0613198495362,0.0916012567145,0.114673465111
0.162057255026,10/03/17,0.238261758454,,0.293929319677,0.0515521770433,0.130250503321,0.123948986479
0.122015621431,10/03/17,0.244878573567,,0.352625145936,0.0359887625585,0.110215585336,0.134276311172
0.171290627663,10/31/17,0.223559265256,,0.319054887178,0.0479087760982,0.116320021142,0.121866422663
0.136137027069,10/31/17,0.306308310905,,0.306308310905,0.0392066464486,0.0818015216026,0.130238183071
